EVENT_ID,STATE,YEAR,MONTH_NAME,EVENT_TYPE,CZ_TYPE,CZ_NAME,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS
10047282,MISSISSIPPI,1951,September,Tornado,C,LOWNDES,0,0,0,0,0K,0
10028729,KANSAS,1951,June,Tornado,C,GOVE,0,0,0,0,0K,0
10120421,TEXAS,1951,March,Tornado,C,HOUSTON,0,0,0,0,2.5K,0
10099717,OKLAHOMA,1951,May,Tornado,C,COTTON,0,0,0,0,2.5K,0
10099742,OKLAHOMA,1951,July,Tornado,C,KINGFISHER,0,0,0,0,.25K,0
10028691,KANSAS,1951,May,Tornado,C,WICHITA,0,0,0,0,.25K,0
10104933,PENNSYLVANIA,1951,March,Tornado,C,ADAMS,0,0,0,0,2.5K,0
10104934,PENNSYLVANIA,1951,May,Tornado,C,SOMERSET,1,0,0,0,25K,0
10104935,PENNSYLVANIA,1951,June,Tornado,C,ARMSTRONG,0,0,0,0,2.5K,0
10104936,PENNSYLVANIA,1951,July,Tornado,C,BRADFORD,0,0,0,0,.25K,0
10082587,NEW JERSEY,1951,April,Tornado,C,MORRIS,2,0,0,0,25K,0
10099493,OKLAHOMA,1951,February,Tornado,C,CADDO,5,0,0,0,25K,0
10039190,MICHIGAN,1951,May,Tornado,C,LIVINGSTON,0,0,0,0,250K,0
10039191,MICHIGAN,1951,June,Tornado,C,EATON,1,0,0,0,2.5K,0
10039192,MICHIGAN,1951,June,Tornado,C,MIDLAND,0,0,0,0,25K,0
10099725,OKLAHOMA,1951,May,Tornado,C,COMANCHE,0,0,0,0,2.5K,0
10099726,OKLAHOMA,1951,May,Tornado,C,BECKHAM,0,0,0,0,2.5K,0
10099727,OKLAHOMA,1951,May,Tornado,C,DEWEY,0,0,0,0,2.5K,0
10099728,OKLAHOMA,1951,May,Tornado,C,BECKHAM,0,0,0,0,0K,0
10099729,OKLAHOMA,1951,June,Tornado,C,TEXAS,0,0,0,0,2.5K,0
10099730,OKLAHOMA,1951,June,Tornado,C,GREER,0,0,0,0,.25K,0
10099731,OKLAHOMA,1951,June,Tornado,C,GRADY,0,0,0,0,2.5K,0
10099732,OKLAHOMA,1951,June,Tornado,C,TILLMAN,0,0,0,0,25K,0
10099733,OKLAHOMA,1951,June,Tornado,C,ROGERS,1,0,0,0,25K,0
10099734,OKLAHOMA,1951,June,Tornado,C,MUSKOGEE,1,0,0,0,.03K,0
10099735,OKLAHOMA,1951,June,Tornado,C,WASHITA,0,0,0,0,250K,0
10099736,OKLAHOMA,1951,June,Tornado,C,KAY,0,0,0,0,25K,0
10099737,OKLAHOMA,1951,June,Tornado,C,TILLMAN,0,0,0,0,2.5K,0
10099738,OKLAHOMA,1951,June,Tornado,C,MAJOR,0,0,0,0,250K,0
10099739,OKLAHOMA,1951,June,Tornado,C,CIMARRON,0,0,0,0,2.5K,0
10099740,OKLAHOMA,1951,July,Tornado,C,KINGFISHER,0,0,0,0,0K,0
10099741,OKLAHOMA,1951,July,Tornado,C,KINGFISHER,0,0,0,0,0K,0
10099743,OKLAHOMA,1951,July,Tornado,C,ELLIS,0,0,0,0,2.5K,0
10099744,OKLAHOMA,1951,August,Tornado,C,LOGAN,2,0,0,0,25K,0
10099745,OKLAHOMA,1951,August,Tornado,C,WOODS,0,0,0,0,2.5K,0
10099746,OKLAHOMA,1951,September,Tornado,C,CRAIG,0,0,0,0,2.5K,0
10099747,OKLAHOMA,1951,October,Tornado,C,NOBLE,0,0,0,0,2.5K,0
10123411,TEXAS,1951,July,Tornado,C,LAMB,0,0,0,0,250K,0
10080566,NEW MEXICO,1951,August,Tornado,C,UNION,0,0,0,0,.03K,0
10080565,NEW MEXICO,1951,June,Tornado,C,CHAVES,0,0,0,0,250K,0
10123403,TEXAS,1951,May,Tornado,C,HUTCHINSON,0,0,0,0,25K,0
10123404,TEXAS,1951,June,Tornado,C,POTTER,0,0,0,0,25K,0
10123405,TEXAS,1951,June,Tornado,C,CARSON,0,0,0,0,.03K,0
10123406,TEXAS,1951,June,Tornado,C,CARSON,12,0,0,0,250K,0
10123407,TEXAS,1951,June,Tornado,C,GRAY,0,0,0,0,2.5K,0
10123408,TEXAS,1951,June,Tornado,C,CHILDRESS,0,0,0,0,250K,0
10123409,TEXAS,1951,June,Tornado,C,TAYLOR,6,0,0,0,250K,0
10123410,TEXAS,1951,June,Tornado,C,JOHNSON,0,0,0,0,25K,0
10099704,OKLAHOMA,1951,February,Tornado,C,CANADIAN,0,0,0,0,25K,0
10099705,OKLAHOMA,1951,February,Tornado,C,CLEVELAND,0,0,0,0,.25K,0
10099706,OKLAHOMA,1951,April,Tornado,C,CLEVELAND,0,0,0,0,25K,0
10099707,OKLAHOMA,1951,April,Tornado,C,GRADY,2,0,0,0,250K,0
10099708,OKLAHOMA,1951,April,Tornado,C,WOODS,2,0,0,0,2.5K,0
10099709,OKLAHOMA,1951,April,Tornado,C,CUSTER,0,0,0,0,0K,0
10099710,OKLAHOMA,1951,April,Tornado,C,JACKSON,0,0,0,0,2.5K,0
10099711,OKLAHOMA,1951,April,Tornado,C,KAY,0,0,0,0,2.5K,0
10099712,OKLAHOMA,1951,April,Tornado,C,BEAVER,0,0,0,0,.25K,0
10099713,OKLAHOMA,1951,April,Tornado,C,MAJOR,2,0,0,0,2.5K,0
10099714,OKLAHOMA,1951,April,Tornado,C,STEPHENS,0,0,0,0,2.5K,0
10099715,OKLAHOMA,1951,April,Tornado,C,OKLAHOMA,0,0,0,0,25K,0
10099716,OKLAHOMA,1951,April,Tornado,C,OKLAHOMA,0,0,0,0,250K,0
10099718,OKLAHOMA,1951,May,Tornado,C,BRYAN,0,0,0,0,25K,0
10099719,OKLAHOMA,1951,May,Tornado,C,JOHNSTON,1,0,0,0,25K,0
10099720,OKLAHOMA,1951,May,Tornado,C,TEXAS,0,0,0,0,2.5K,0
10099721,OKLAHOMA,1951,May,Tornado,C,TEXAS,0,0,0,0,0K,0
10099722,OKLAHOMA,1951,May,Tornado,C,BECKHAM,0,0,0,0,0K,0
10099723,OKLAHOMA,1951,May,Tornado,C,COMANCHE,0,0,0,0,2.5K,0
10099724,OKLAHOMA,1951,May,Tornado,C,COMANCHE,0,0,0,0,2.5K,0
10073788,NEBRASKA,1951,April,Tornado,C,MERRICK,0,0,0,0,2.5K,0
10073789,NEBRASKA,1951,May,Tornado,C,CUSTER,0,0,0,0,2.5K,0
10073790,NEBRASKA,1951,May,Tornado,C,SCOTTS BLUFF,7,0,0,0,0K,0
10073791,NEBRASKA,1951,May,Tornado,C,CHASE,0,0,0,0,0K,0
10073792,NEBRASKA,1951,June,Tornado,C,SIOUX,0,0,0,0,2.5K,0
10073793,NEBRASKA,1951,June,Tornado,C,CHEYENNE,1,0,0,0,0K,0
10073794,NEBRASKA,1951,July,Tornado,C,PERKINS,0,0,0,0,25K,0
10073795,NEBRASKA,1951,July,Tornado,C,DEUEL,0,0,0,0,0K,0
