EVENT_ID,FATALITY_TYPE,FATALITY_DATE,FATALITY_AGE,FATALITY_SEX,FATALITY_LOCATION
10064495,D,2/9/90 23:50,,,
10045643,D,2/9/90 19:45,,,
9996139,D,2/10/90 5:00,,,
9996145,D,2/10/90 5:10,,,
9996150,D,2/10/90 5:10,,,
9990991,D,3/14/90 19:40,,,
10076215,D,3/11/90 2:30,,,
10037680,D,3/13/90 17:00,,,
10037687,D,3/13/90 17:46,,,
10039163,D,3/17/90 11:00,,,
10039164,D,3/17/90 11:30,,,
10001261,D,3/29/90 15:45,,,
10136681,D,3/29/90 13:00,,,
10063437,D,4/1/90 14:05,,,
10137153,D,6/1/90 16:20,,,
10090696,D,7/1/90 15:00,,,
9993282,D,7/30/90 18:50,,,
10019105,D,8/28/90 13:18,,,
10003586,D,8/28/90 14:37,,,
10081361,D,9/3/90 15:00,,,
10055246,D,9/6/90 16:28,,,
10099579,D,9/6/90 18:15,,,
10110076,D,10/22/90 16:50,,,
10149470,D,10/18/90 15:00,,,
10062352,D,12/21/90 17:00,,,
10062345,D,12/21/90 15:30,,,
10063444,D,4/22/90 16:15,,,
10146354,D,4/25/90 14:09,,,
10102134,D,5/15/90 18:41,,,
10097279,D,5/4/90 18:50,,,
9996520,D,5/20/90 14:30,,,
10018985,D,5/16/90 19:30,,,
9990364,D,5/16/90 18:40,,,
10004980,D,5/16/90 18:42,,,
10146357,D,5/4/90 17:22,,,
9984116,D,6/26/90 15:30,,,
10077836,D,6/29/90 17:40,,,
10098151,D,6/3/90 15:05,,,
10086381,D,6/26/90 21:16,,,
10019038,D,6/2/90 19:21,,,
10019016,D,6/2/90 18:30,,,
10019026,D,6/2/90 18:50,,,
10020136,D,6/3/90 13:19,,,
10002495,D,6/29/90 7:10,,,
10005779,D,6/2/90 17:49,,,
